市场,代码,名称
上海,300001,特锐德
上海,300002,神州泰岳
上海,300003,乐普医疗
上海,300004,南风股份
上海,300005,探路者
上海,300006,莱美药业
上海,300007,汉威科技
上海,300008,天海防务
上海,300009,安科生物
上海,300010,豆神教育
上海,300011,鼎汉技术
上海,300012,华测检测
上海,300014,亿纬锂能
上海,300015,爱尔眼科
上海,300016,北陆药业
上海,300017,网宿科技
上海,300018,中元股份
上海,300019,硅宝科技
上海,300021,大禹节水
上海,300022,吉峰科技
上海,300024,机器人
上海,300025,华星创业
上海,300026,红日药业
上海,300027,华谊兄弟
上海,300030,阳普医疗
上海,300031,宝通科技
上海,300032,金龙机电
上海,300033,同花顺
上海,300034,钢研高纳
上海,300035,中科电气
上海,300036,超图软件
上海,300037,新宙邦
上海,300039,上海凯宝
上海,300040,九洲集团
上海,300041,回天新材
上海,300042,朗科科技
上海,300043,星辉娱乐
上海,300044,赛为智能
上海,300045,华力创通
上海,300046,台基股份
上海,300047,天源迪科
上海,300048,合康新能
上海,300049,福瑞股份
上海,300050,世纪鼎利
上海,300051,琏升科技
上海,300053,航宇微
上海,300054,鼎龙股份
上海,300055,万邦达
上海,300056,中创环保
上海,300057,万顺新材
上海,300058,蓝色光标
上海,300059,东方财富
上海,300061,旗天科技
上海,300062,中能电气
上海,300063,天龙集团
上海,300065,海兰信
上海,300066,三川智慧
上海,300067,安诺其
上海,300068,南都电源
上海,300069,金利华电
上海,300070,碧水源
上海,300071,福石控股
上海,300072,海新能科
上海,300073,当升科技
上海,300074,华平股份
上海,300075,数字政通
上海,300076,GQY视讯
上海,300077,国民技术
上海,300078,思创医惠
上海,300079,数码视讯
上海,300080,易成新能
上海,300081,恒信东方
上海,300082,奥克股份
上海,300083,创世纪
上海,300084,海默科技
上海,300085,银之杰
上海,300086,康芝药业
上海,300087,荃银高科
上海,300088,长信科技
上海,300091,金通灵
上海,300092,科新机电
上海,300093,金刚光伏
上海,300094,国联水产
上海,300095,华伍股份
上海,300098,高新兴
上海,300099,尤洛卡
上海,300100,双林股份
上海,300101,振芯科技
上海,300102,乾照光电
上海,300103,达刚控股
上海,300105,龙源技术
上海,300106,西部牧业
上海,300107,建新股份
上海,300109,新开源
上海,300110,华仁药业
上海,300111,向日葵
上海,300112,万讯自控
上海,300113,顺网科技
上海,300115,长盈精密
上海,300118,东方日升
上海,300119,瑞普生物
上海,300120,经纬辉开
上海,300121,阳谷华泰
上海,300122,智飞生物
上海,300123,亚光科技
上海,300124,汇川技术
上海,300126,锐奇股份
上海,300127,银河磁体
上海,300128,锦富技术
上海,300129,泰胜风能
上海,300130,新国都
上海,300131,英唐智控
